"","objectid","who_region","iso_2_code","adm1_name","adm0_name","adm1_code","startdate","enddate","guid","iso_3_code","center_lon","center_lat","adm1_viz_n","adm0_viz_n"
"1",36726,"EURO","AD","ANDORRA LA VELLA","ANDORRA","AD001001000000000000",2000-01-01,9999-12-31,"{945F20A9-DEF9-493C-A1C6-268D97F23141}","AND",1.5134517,42.50637358,"Andorra La Vella","Andorra"
"2",36727,"EURO","AD","CANILLO","ANDORRA","AD001002000000000000",2000-01-01,9999-12-31,"{9D8601DF-751A-4ADA-A081-6D270CEB0E1C}","AND",1.66424134,42.58719281,"Canillo","Andorra"
"3",36728,"EURO","AD","ENCAMP","ANDORRA","AD001003000000000000",2000-01-01,9999-12-31,"{ADF518ED-D43B-4166-AD30-51C09BFAFF4E}","AND",1.64851344,42.5204535,"Encamp","Andorra"
"4",36729,"EURO","AD","ESCALDES-ENGORDANY","ANDORRA","AD001004000000000000",2000-01-01,9999-12-31,"{BDD98C42-8365-4A48-8CE5-6B3D716F06DD}","AND",1.58758839,42.48323914,"Escaldes Engordany","Andorra"
"5",36730,"EURO","AD","LA MASSANA","ANDORRA","AD001005000000000000",2000-01-01,9999-12-31,"{CE1C115E-2BB5-4864-BED7-6BE1369660C3}","AND",1.47600234,42.54814609,"La Massana","Andorra"
"6",36731,"EURO","AD","ORDINO","ANDORRA","AD001006000000000000",2000-01-01,9999-12-31,"{76EBD1AB-8B7F-4543-9E86-DBD578D9CD6E}","AND",1.53572785,42.61115077,"Ordino","Andorra"
"7",36732,"EURO","AD","SANT JULIÀ DE LÒRIA","ANDORRA","AD001007000000000000",2000-01-01,9999-12-31,"{3AC43B69-1374-49BF-8626-AFA4A0712502}","AND",1.49324607,42.46818121,"Sant Julia De Loria","Andorra"
"8",36733,"EURO","AL","BERAT","ALBANIA","AL001001000000000000",2000-01-01,9999-12-31,"{6F5536DB-A783-4F63-8F46-C2A7AB91D912}","ALB",19.95154895,40.68289613,"Berat","Albania"
"9",36734,"EURO","AL","BULQIZE","ALBANIA","AL001002000000000000",2000-01-01,9999-12-31,"{7A1A7163-CB5B-45D4-8C33-B3DA7E2F3EAA}","ALB",20.34009422,41.45958324,"Bulqize","Albania"
"10",36735,"EURO","AL","DELVINE","ALBANIA","AL001003000000000000",2000-01-01,9999-12-31,"{AD848D09-FBEE-4D21-AE1B-406687B2E9F9}","ALB",20.06007715,39.97091157,"Delvine","Albania"
