"","objectid","who_region","iso_2_code","adm1_name","adm0_name","adm1_code","startdate","enddate","guid","iso_3_code","center_lon","center_lat","adm1_viz_n","adm0_viz_n"
"1",39453,"SEARO","BD","BARISAL","BANGLADESH","BD001001000000000000",2000-01-01,9999-12-31,"{A8679AEC-C160-4845-922D-354D101DD8E1}","BGD",90.33190176,22.44005859,"Barisal","Bangladesh"
"2",39454,"SEARO","BD","CHITTAGONG","BANGLADESH","BD001002000000000000",2000-01-01,9999-12-31,"{BFDA2413-FD9A-4603-9413-1165A94B5B25}","BGD",91.73567462,22.70888814,"Chittagong","Bangladesh"
"3",39455,"SEARO","BD","DHAKA","BANGLADESH","BD001009000000000000",2020-01-01,9999-12-31,"{D3187614-BEB8-4F2A-B7D6-226FC7F45422}","BGD",90.24419643,23.84202124,"Dhaka","Bangladesh"
"4",39456,"SEARO","BD","KHULNA","BANGLADESH","BD001004000000000000",2000-01-01,9999-12-31,"{8C3B0B1F-2026-4959-A513-A230F2751E74}","BGD",89.29573328,22.88906575,"Khulna","Bangladesh"
"5",39457,"SEARO","BD","MYMENSINGH","BANGLADESH","BD001010000000000000",2020-01-01,9999-12-31,"{B3EDA175-B119-4F65-A92E-9DE8F73EB185}","BGD",90.40775657,24.83696322,"Mymensingh","Bangladesh"
"6",39458,"SEARO","BD","RAJSHAHI","BANGLADESH","BD001007000000000000",2010-01-01,9999-12-31,"{8145D935-6051-4939-B500-154C88EC2600}","BGD",89.05254406,24.58062307,"Rajshahi","Bangladesh"
"7",39459,"SEARO","BD","RANGPUR","BANGLADESH","BD001008000000000000",2010-01-01,9999-12-31,"{3EAA8DB6-BECD-41B2-9219-46F486CFD09D}","BGD",89.05855619,25.77250204,"Rangpur","Bangladesh"
"8",39460,"SEARO","BD","SYLHET","BANGLADESH","BD001006000000000000",2000-01-01,9999-12-31,"{95DF63FA-38D9-4F6F-B545-3728FA306753}","BGD",91.67899324,24.71782158,"Sylhet","Bangladesh"
"9",39461,"SEARO","BT","BUMTHANG","BHUTAN","BT001001000000000000",2000-01-01,9999-12-31,"{10FFFB20-80CF-43B8-85B4-B9ADC88876AB}","BTN",90.74178076,27.70343968,"Bumthang","Bhutan"
"10",39462,"SEARO","BT","CHUKHA","BHUTAN","BT001002000000000000",2000-01-01,9999-12-31,"{E9A0B322-198F-4D01-B504-96566C38C94B}","BTN",89.54788565,26.98877812,"Chukha","Bhutan"
"11",39463,"SEARO","BT","DAGA","BHUTAN","BT001003000000000000",2000-01-01,9999-12-31,"{3468545D-5F5F-44ED-AB5A-7A28F4215E53}","BTN",89.85767111,27.09800549,"Daga","Bhutan"
"12",39464,"SEARO","BT","GASA","BHUTAN","BT001004000000000000",2000-01-01,9999-12-31,"{D2F1AF66-38EB-49BB-8924-5F1726D2E8C5}","BTN",89.93649295,28.0358612,"Gasa","Bhutan"
"13",39465,"SEARO","BT","HAA","BHUTAN","BT001005000000000000",2000-01-01,9999-12-31,"{45951699-7738-48B9-9826-D45C347B40EA}","BTN",89.16377589,27.32393163,"Haa","Bhutan"
"14",39466,"SEARO","BT","LHUNTSHI","BHUTAN","BT001006000000000000",2000-01-01,9999-12-31,"{86DC9937-03B1-41EF-B916-BB1A990226BA}","BTN",91.13415799,27.77521542,"Lhuntshi","Bhutan"
"15",39467,"SEARO","BT","MONGAR","BHUTAN","BT001007000000000000",2000-01-01,9999-12-31,"{727C265E-AD87-46CA-9535-70CFDD21550D}","BTN",91.2133956,27.241014,"Mongar","Bhutan"
"16",39468,"SEARO","BT","PARO","BHUTAN","BT001008000000000000",2000-01-01,9999-12-31,"{A0108EEA-C486-4F80-95D4-523A93BD4CFC}","BTN",89.37698489,27.5343548,"Paro","Bhutan"
"17",39469,"SEARO","BT","PEMAGATSEL","BHUTAN","BT001009000000000000",2000-01-01,9999-12-31,"{10CEBF8C-DF75-4438-A2A4-10F970E36C6D}","BTN",91.36164309,27.00349195,"Pemagatsel","Bhutan"
"18",39470,"SEARO","BT","PUNAKHA","BHUTAN","BT001010000000000000",2000-01-01,9999-12-31,"{0ECE7DDF-0A4C-44D3-A384-4D4B1409EFF7}","BTN",89.87820481,27.68171142,"Punakha","Bhutan"
"19",39471,"SEARO","BT","SAMDRUP JONGKHAR","BHUTAN","BT001011000000000000",2000-01-01,9999-12-31,"{C7C50FDA-5C21-4EC9-9C75-CE1AC8CC4289}","BTN",91.66836647,26.93492631,"Samdrup Jongkhar","Bhutan"
